Version, File Name, LOC, NAuth, Fan-Out, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Time Span (days), Buggy
1, storm-core/src/jvm/backtype/storm/serialization/types/HashSetSerializer.java, 15, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java, 59, 2, 10, 8, 150, 59, 18.75, 126, 59, 15.75, 28, false
1, storm-core/src/jvm/backtype/storm/testing/SpoutTracker.java, 88, 2, 10, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignmentImpl.java, 92, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/MkClusterParam.java, 40, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java, 36, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/InprocMessaging.java, 42, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java, 918, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/state/OpaqueValue.java, 58, 3, 1, 5, 16, 8, 3.2, 8, 4, 1.6, 104, false
1, storm-core/src/jvm/storm/trident/tuple/TridentTupleView.java, 311, 2, 12, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/SpoutDeclarer.java, 5, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/TestKryoDecorator.java, 14, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/ITransactionalSpout.java, 77, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/ICommitterTransactionalSpout.java, 14, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/metric/api/ReducedMetric.java, 21, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
