Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java, 194, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/Either.java, 51, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java, 75, 2, 0, 2, 42032, 1252, 81.93372, 41798, 1252, 81.477585, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java, 99, 2, 0, 2, 42032, 1252, 81.93372, 41798, 1252, 81.477585, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java, 63, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java, 738, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java, 49, 3, 0, 3, 51299, 1734, 25.295364, 52972, 1732, 26.120316, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java, 567, 4, 0, 4, 51551, 1734, 23.85516, 53103, 1732, 24.573345, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java, 386, 6, 0, 6, 54004, 1734, 22.096563, 56160, 1732, 22.978724, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java, 47, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java, 62, 3, 0, 3, 10573, 1734, 6.0869317, 13055, 1732, 7.515832, 0, true
